sample_id,patient_id,gt_count,mask_condition,method_key,failure_attribution,matched_iou_per_gt
m04_p01_s01,m04_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,false_semantic_bridges,"[0.47767528474297344, 0.0, 0.0]"
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,false_semantic_bridges,"[0.8320770706034522, 0.8501485952388247, 0.49865047233468285]"
m04_p01_s05,m04_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,false_semantic_bridges,"[0.36787032735985137, 0.3199878016903372, 0.5020412329046744]"
m04_p01_s06,m04_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,missing_semantic_tissue,"[0.5571955719557196, 0.44398829989223587, 0.7372633438207209]"
m04_p01_s07,m04_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r09,missing_semantic_tissue,"[0.00042170368287883047, 0.4362179708543408]"
m04_p01_s08,m04_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r09,false_semantic_bridges,"[0.90445924645345, 0.8129068150208623]"
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,false_semantic_bridges,"[0.777307366638442, 0.8430632758273091, 0.507095926412615]"
m04_p01_s10,m04_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,false_semantic_bridges,"[0.4805497254248009, 0.0, 0.0]"
m04_p01_s11,m04_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,false_semantic_bridges,"[0.6270160661363282, 0.0, 0.7854514229636899]"
m04_p01_s13,m04_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r09,missing_semantic_tissue,"[0.4427486385783892, 0.6361424847958297]"
m04_p01_s14,m04_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r09,false_semantic_bridges,"[0.022079046551899767, 0.43316538233550683]"
m04_p01_s15,m04_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r09,false_semantic_bridges,"[0.9148601186871745, 0.8792039579743176]"
m04_p01_s16,m04_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,seed_failures,"[0.9076334051208423, 0.6662599601593625, 0.0]"
