mask_condition,method_key,method_family,method_variant,n,exact_instance_count,mean_matched_iou,median_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,merge_rate,fragmentation_rate,perfect_rate
GT_SEMANTIC,baseline_connected_components,connected_components,raw_cc,93,0.5913978494623656,0.930113320875453,0.9424469221151359,0.978494623655914,0.8279569892473119,0.7419354838709677,0.0,0.40860215053763443,0.5698924731182796
GT_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,93,0.5913978494623656,0.930113320875453,0.9424469221151359,0.978494623655914,0.8279569892473119,0.7419354838709677,0.0,0.40860215053763443,0.5698924731182796
GT_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,93,0.5913978494623656,0.930113320875453,0.9424469221151359,0.978494623655914,0.8279569892473119,0.7419354838709677,0.0,0.40860215053763443,0.5698924731182796
GT_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,93,0.5913978494623656,0.930113320875453,0.9424469221151359,0.978494623655914,0.8279569892473119,0.7419354838709677,0.0,0.40860215053763443,0.5698924731182796
GT_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,93,0.5913978494623656,0.930113320875453,0.9424469221151359,0.978494623655914,0.8279569892473119,0.7419354838709677,0.0,0.40860215053763443,0.5698924731182796
GT_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,93,0.5913978494623656,0.930113320875453,0.9424469221151359,0.978494623655914,0.8279569892473119,0.7419354838709677,0.0,0.40860215053763443,0.5698924731182796
PREDICTED_SEMANTIC,baseline_connected_components,connected_components,raw_cc,93,0.22580645161290322,0.5542950137716002,0.5739637378143997,0.41935483870967744,0.27956989247311825,0.15053763440860216,0.1827956989247312,0.5913978494623656,0.0
PREDICTED_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,93,0.34408602150537637,0.5579877404062811,0.5772294000036535,0.41935483870967744,0.27956989247311825,0.15053763440860216,0.06451612903225806,0.5913978494623656,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,93,0.3548387096774194,0.5573108664968115,0.5764206716509744,0.41935483870967744,0.27956989247311825,0.15053763440860216,0.053763440860215055,0.5913978494623656,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,93,0.3548387096774194,0.5555322929846425,0.5747729060250361,0.41935483870967744,0.27956989247311825,0.15053763440860216,0.053763440860215055,0.5913978494623656,0.0
PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,93,0.3548387096774194,0.5573108664968115,0.5764206716509744,0.41935483870967744,0.27956989247311825,0.15053763440860216,0.053763440860215055,0.5913978494623656,0.0
PREDICTED_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,93,0.3548387096774194,0.5555322929846425,0.5747729060250361,0.41935483870967744,0.27956989247311825,0.15053763440860216,0.053763440860215055,0.5913978494623656,0.0
