sample_id,patient_id,gt_count,mask_condition,method_key,method_family,method_variant,metadata_fullimage_count,pred_instance_count,instance_exact_count_acc,instance_mean_matched_iou,median_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,instance_merged_rate,instance_fragmented_rate,instance_perfect_rate,unmatched_gt_instances,unmatched_pred_instances,matched_iou_per_gt,failure_attribution
m04_p01_s00,m04_p01,2,GT_SEMANTIC,baseline_connected_components,connected_components,raw_cc,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",seed_failures
m04_p01_s00,m04_p01,2,GT_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m04_p01_s00,m04_p01,2,GT_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m04_p01_s00,m04_p01,2,GT_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m04_p01_s00,m04_p01,2,GT_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m04_p01_s00,m04_p01,2,GT_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m04_p01_s00,m04_p01,2,PREDICTED_SEMANTIC,baseline_connected_components,connected_components,raw_cc,2,2,1.0,0.8993227451511014,0.8993227451511014,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.9161660922369933, 0.8824793980652096]",seed_failures
m04_p01_s00,m04_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,2,2,1.0,0.8993227451511014,0.8993227451511014,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.9161660922369933, 0.8824793980652096]",other
m04_p01_s00,m04_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,2,2,1.0,0.8993227451511014,0.8993227451511014,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.9161660922369933, 0.8824793980652096]",other
m04_p01_s00,m04_p01,2,PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,2,2,1.0,0.8993227451511014,0.8993227451511014,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.9161660922369933, 0.8824793980652096]",other
