sample_id,patient_id,gt_count,reported_gt_metric_method,forensic_gt_split_method,exact_count_definition,requested_k,component_count_before,seed_requested,seed_created,seed_unique,watershed_label_count,pred_instance_count,count_relation,mismatch_reason,instance_exact_count_acc
m04_p01_s00,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m04_p01_s01,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s02,m04_p01,1,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,1,1,1,1,1,1,1,eq,exact_k,1.0
m04_p01_s04,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s05,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s06,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,4,3,0,0,4,4,gt,disconnected_component_policy,0.0
m04_p01_s07,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m04_p01_s08,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m04_p01_s09,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,5,3,0,0,5,5,gt,disconnected_component_policy,0.0
m04_p01_s10,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s11,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s13,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
m04_p01_s14,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
m04_p01_s15,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m04_p01_s16,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s17,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,5,3,0,0,5,5,gt,disconnected_component_policy,0.0
m04_p01_s18,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s19,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
m04_p01_s20,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s22,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s23,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s24,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,4,2,0,0,4,4,gt,disconnected_component_policy,0.0
m04_p01_s25,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,4,3,0,0,4,4,gt,disconnected_component_policy,0.0
m04_p01_s26,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,5,3,0,0,5,5,gt,disconnected_component_policy,0.0
m04_p01_s27,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s28,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
m04_p01_s29,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m04_p01_s30,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m04_p01_s32,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s33,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,5,3,0,0,5,5,gt,disconnected_component_policy,0.0
m04_p01_s34,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,4,2,0,0,4,4,gt,disconnected_component_policy,0.0
m04_p01_s35,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s36,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,4,3,0,0,4,4,gt,disconnected_component_policy,0.0
m04_p01_s37,m04_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m04_p01_s38,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s39,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m04_p01_s40,m04_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,4,3,0,0,4,4,gt,disconnected_component_policy,0.0
m04_p01_s41,m04_p01,1,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,1,2,1,0,0,2,2,gt,disconnected_component_policy,0.0
m05_p01_s00,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m05_p01_s02,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m05_p01_s03,m05_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m05_p01_s05,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
m05_p01_s06,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
m05_p01_s07,m05_p01,1,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,1,1,1,1,1,1,1,eq,exact_k,1.0
m05_p01_s08,m05_p01,1,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,1,2,1,0,0,2,2,gt,disconnected_component_policy,0.0
m05_p01_s09,m05_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m05_p01_s10,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,9,2,0,0,9,9,gt,disconnected_component_policy,0.0
m05_p01_s11,m05_p01,1,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,1,2,1,0,0,2,2,gt,disconnected_component_policy,0.0
m05_p01_s12,m05_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m05_p01_s15,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
m05_p01_s16,m05_p01,1,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,1,1,1,1,1,1,1,eq,exact_k,1.0
m05_p01_s17,m05_p01,1,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,1,4,1,0,0,4,4,gt,disconnected_component_policy,0.0
m05_p01_s18,m05_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m05_p01_s19,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m05_p01_s20,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,2,2,2,2,2,2,eq,exact_k,1.0
m05_p01_s21,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
m05_p01_s22,m05_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,3,3,3,3,3,3,eq,exact_k,1.0
m05_p01_s23,m05_p01,1,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,1,2,1,0,0,2,2,gt,disconnected_component_policy,0.0
m05_p01_s24,m05_p01,3,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,3,5,3,0,0,5,5,gt,disconnected_component_policy,0.0
m05_p01_s25,m05_p01,1,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,1,1,1,1,1,1,1,eq,exact_k,1.0
m05_p01_s26,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
m05_p01_s27,m05_p01,2,baseline_connected_components,global_distance_maxima_r09,literal pred_instance_count == gt_instance_count on reconstructed instance labels,2,3,2,0,0,3,3,gt,disconnected_component_policy,0.0
