sample_id,patient_id,gt_count,topology_class,leaflet_dice,leaflet_iou,gt_semantic_oracle_success,predicted_semantic_oracle_success
m04_p01_s00,m04_p01,2,A,0.9504524726508046,0.9055830706888789,1.0,1.0
m04_p01_s01,m04_p01,3,D,0.9086510682878821,0.8325944543349507,1.0,0.0
m04_p01_s02,m04_p01,1,C,0.7873361564831619,0.6492616735399761,1.0,1.0
m04_p01_s04,m04_p01,3,C,0.8955846322264505,0.8109128669876333,1.0,0.0
m04_p01_s05,m04_p01,3,D,0.9051796588178052,0.8267837422899776,1.0,0.0
m04_p01_s06,m04_p01,3,D,0.8342504361830627,0.7156343541330877,1.0,0.0
m04_p01_s07,m04_p01,2,D,0.817710806653956,0.6916334947964127,1.0,0.0
m04_p01_s08,m04_p01,2,C,0.9337190267132971,0.8756782218810517,1.0,1.0
m04_p01_s09,m04_p01,3,C,0.8909670420237324,0.8033729165718793,1.0,1.0
m04_p01_s10,m04_p01,3,D,0.8913090797186841,0.8039292677642981,1.0,0.0
m04_p01_s11,m04_p01,3,D,0.8762496046136984,0.7797546574499561,1.0,0.0
m04_p01_s13,m04_p01,2,C,0.7870529340538196,0.6488765719053579,1.0,0.0
m04_p01_s14,m04_p01,2,D,0.8892288678101957,0.8005509344280004,1.0,0.0
m04_p01_s15,m04_p01,2,E,0.9394130640580625,0.885748289199643,1.0,1.0
m04_p01_s16,m04_p01,3,D,0.9164105178818559,0.8457174354355161,1.0,0.0
m04_p01_s17,m04_p01,3,C,0.9152938829907796,0.8438173885424851,1.0,0.0
m04_p01_s18,m04_p01,3,C,0.8938968131926401,0.8081495685522531,1.0,1.0
m04_p01_s19,m04_p01,2,C,0.8035130718954249,0.6715602594742233,1.0,1.0
m04_p01_s20,m04_p01,3,D,0.8946772969879278,0.8094263282115505,1.0,0.0
m04_p01_s22,m04_p01,3,D,0.8821421487603306,0.7891362464217275,1.0,0.0
m04_p01_s23,m04_p01,3,D,0.910520065008126,0.8357382598468115,1.0,0.0
m04_p01_s24,m04_p01,2,C,0.8609239653512993,0.7558090409801437,1.0,0.0
m04_p01_s25,m04_p01,3,C,0.8901331092900628,0.802017896687305,1.0,0.0
m04_p01_s26,m04_p01,3,C,0.9302495387135288,0.869594893742621,1.0,0.0
m04_p01_s27,m04_p01,3,D,0.8927031279833034,0.8062003519954336,1.0,0.0
m04_p01_s28,m04_p01,2,C,0.8438845505296072,0.7299310383891021,1.0,1.0
m04_p01_s29,m04_p01,2,D,0.8793365986130643,0.7846571928063282,1.0,0.0
m04_p01_s30,m04_p01,2,E,0.868965987205806,0.7682934176833861,1.0,1.0
m04_p01_s32,m04_p01,3,C,0.9205379368312159,0.8527746997693989,1.0,1.0
m04_p01_s33,m04_p01,3,D,0.8782858494710872,0.7829854415734671,1.0,0.0
m04_p01_s34,m04_p01,2,C,0.7827093968614105,0.6429930493534733,1.0,0.0
m04_p01_s35,m04_p01,3,B,0.876792703263792,0.7806152130702477,1.0,0.0
m04_p01_s36,m04_p01,3,D,0.8226421747772007,0.6987189086899106,1.0,0.0
m04_p01_s37,m04_p01,2,D,0.9044495254218042,0.8255662759582407,1.0,0.0
m04_p01_s38,m04_p01,3,D,0.8862872849435,0.7957952468007312,1.0,0.0
m04_p01_s39,m04_p01,3,D,0.9029511591785078,0.8230728893550079,1.0,0.0
m04_p01_s40,m04_p01,3,C,0.8076457699728572,0.6773538849729849,1.0,0.0
