mask_condition,method_key,gt_count,n,exact_k_rate,mean_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,merge_rate,fragmentation_rate,mean_merge_ops,mean_split_ops
GT_SEMANTIC,nearest_component_k_normalizer,1,16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0
GT_SEMANTIC,nearest_component_k_normalizer,2,31,1.0,0.8535362947215439,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.0,0.0,0.8709677419354839,0.0
GT_SEMANTIC,nearest_component_k_normalizer,3,46,1.0,0.8913654120226914,0.8043478260869565,0.7391304347826086,0.7391304347826086,0.0,0.0,0.6304347826086957,0.0
GT_SEMANTIC,area_aware_k_normalizer,1,16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0
GT_SEMANTIC,area_aware_k_normalizer,2,31,1.0,0.8430288838553807,0.7096774193548387,0.6774193548387096,0.6774193548387096,0.0,0.0,0.8709677419354839,0.0
GT_SEMANTIC,area_aware_k_normalizer,3,46,1.0,0.8891551611825592,0.8043478260869565,0.7391304347826086,0.7391304347826086,0.0,0.0,0.6304347826086957,0.0
GT_SEMANTIC,centroid_distance_k_normalizer,1,16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0
GT_SEMANTIC,centroid_distance_k_normalizer,2,31,1.0,0.922056442529241,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.0,0.0,0.8709677419354839,0.0
GT_SEMANTIC,centroid_distance_k_normalizer,3,46,1.0,0.9746288690334878,0.9565217391304348,0.9565217391304348,0.9347826086956522,0.0,0.0,0.6304347826086957,0.0
GT_SEMANTIC,hybrid_k_normalization,1,16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0
GT_SEMANTIC,hybrid_k_normalization,2,31,1.0,0.9575883654773074,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.0,0.0,0.8709677419354839,0.0
GT_SEMANTIC,hybrid_k_normalization,3,46,1.0,0.9066427419828156,0.8260869565217391,0.782608695652174,0.782608695652174,0.0,0.0,0.6304347826086957,0.0
GT_SEMANTIC,gt_fragment_grouping_oracle,1,16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0
GT_SEMANTIC,gt_fragment_grouping_oracle,2,31,1.0,0.9838709677419355,0.967741935483871,0.967741935483871,0.967741935483871,0.0,0.0,0.8709677419354839,0.0
GT_SEMANTIC,gt_fragment_grouping_oracle,3,46,0.9782608695652174,0.9900011907659084,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.021739130434782608,0.0,0.6521739130434783,0.0
PREDICTED_SEMANTIC,nearest_component_k_normalizer,1,16,1.0,0.7940755347598775,1.0,0.9375,0.5,0.0,0.0,0.625,0.0
PREDICTED_SEMANTIC,nearest_component_k_normalizer,2,31,1.0,0.47587955420576583,0.3225806451612903,0.22580645161290322,0.16129032258064516,0.0,0.0,2.0,0.0967741935483871
PREDICTED_SEMANTIC,nearest_component_k_normalizer,3,46,1.0,0.44750692178125834,0.13043478260869565,0.06521739130434782,0.0,0.0,0.0,1.4130434782608696,0.391304347826087
PREDICTED_SEMANTIC,area_aware_k_normalizer,1,16,1.0,0.7940755347598775,1.0,0.9375,0.5,0.0,0.0,0.625,0.0
PREDICTED_SEMANTIC,area_aware_k_normalizer,2,31,1.0,0.5081418642244578,0.3870967741935484,0.25806451612903225,0.16129032258064516,0.0,0.0,2.0,0.0967741935483871
PREDICTED_SEMANTIC,area_aware_k_normalizer,3,46,1.0,0.4616943563289962,0.17391304347826086,0.06521739130434782,0.0,0.0,0.0,1.4130434782608696,0.391304347826087
PREDICTED_SEMANTIC,centroid_distance_k_normalizer,1,16,1.0,0.7940755347598775,1.0,0.9375,0.5,0.0,0.0,0.625,0.0
PREDICTED_SEMANTIC,centroid_distance_k_normalizer,2,31,1.0,0.5224118522990987,0.41935483870967744,0.2903225806451613,0.16129032258064516,0.0,0.0,2.0,0.0967741935483871
PREDICTED_SEMANTIC,centroid_distance_k_normalizer,3,46,1.0,0.5334304124134358,0.34782608695652173,0.13043478260869565,0.021739130434782608,0.0,0.0,1.4130434782608696,0.391304347826087
PREDICTED_SEMANTIC,hybrid_k_normalization,1,16,1.0,0.7940755347598775,1.0,0.9375,0.5,0.0,0.0,0.625,0.0
PREDICTED_SEMANTIC,hybrid_k_normalization,2,31,1.0,0.5199431316214609,0.41935483870967744,0.2903225806451613,0.16129032258064516,0.0,0.0,2.0,0.0967741935483871
PREDICTED_SEMANTIC,hybrid_k_normalization,3,46,1.0,0.47354433149159453,0.17391304347826086,0.06521739130434782,0.0,0.0,0.0,1.4130434782608696,0.391304347826087
PREDICTED_SEMANTIC,gt_fragment_grouping_oracle,1,16,1.0,0.7940755347598775,1.0,0.9375,0.5,0.0,0.0,0.625,0.0
PREDICTED_SEMANTIC,gt_fragment_grouping_oracle,2,31,0.7741935483870968,0.6005960261621546,0.5806451612903226,0.41935483870967744,0.1935483870967742,0.22580645161290322,0.0,2.129032258064516,0.0
PREDICTED_SEMANTIC,gt_fragment_grouping_oracle,3,46,0.41304347826086957,0.452204470433086,0.34782608695652173,0.13043478260869565,0.021739130434782608,0.5869565217391305,0.0,1.7391304347826086,0.0
