sample_id,patient_id,gt_count,mask_condition,method_key,operation_index,left_group,right_group,left_component_ids,right_component_ids,left_area,right_area,minimum_boundary_distance,chosen_target_group,same_gt_leaflet,merge_stage
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,nearest_component_k_normalizer,1,3,4,[3],[4],20931,1,2.196899890899658,3,,agglomeration
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,nearest_component_k_normalizer,2,1,3,[1],"[3, 4]",28795,20932,21.772096633911133,1,,agglomeration
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,area_aware_k_normalizer,1,3,4,[3],[4],20931,1,2.196899890899658,3,,agglomeration
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,area_aware_k_normalizer,2,1,3,[1],"[3, 4]",28795,20932,21.772096633911133,1,,agglomeration
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,1,3,4,[3],[4],20931,1,2.196899890899658,3,,agglomeration
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,2,2,5,[2],[5],4094,2528,92.35661315917969,2,,agglomeration
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,hybrid_k_normalization,1,3,4,[3],[4],20931,1,2.196899890899658,3,,obvious_fragment_assignment
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,hybrid_k_normalization,2,1,3,[1],"[3, 4]",28795,20932,21.772096633911133,1,,agglomeration
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,gt_fragment_grouping_oracle,1,3,4,[3],[4],20931,1,,1,1,gt_oracle_grouping
m04_p01_s04,m04_p01,3,PREDICTED_SEMANTIC,gt_fragment_grouping_oracle,2,2,5,[2],[5],4094,2528,,3,1,gt_oracle_grouping
m04_p01_s06,m04_p01,3,GT_SEMANTIC,nearest_component_k_normalizer,1,2,3,[2],[3],3623,12359,25.565895080566406,2,,agglomeration
m04_p01_s06,m04_p01,3,GT_SEMANTIC,area_aware_k_normalizer,1,2,3,[2],[3],3623,12359,25.565895080566406,2,,agglomeration
m04_p01_s06,m04_p01,3,GT_SEMANTIC,centroid_distance_k_normalizer,1,2,3,[2],[3],3623,12359,25.565895080566406,2,,agglomeration
m04_p01_s06,m04_p01,3,GT_SEMANTIC,hybrid_k_normalization,1,2,3,[2],[3],3623,12359,25.565895080566406,2,,obvious_fragment_assignment
m04_p01_s06,m04_p01,3,GT_SEMANTIC,gt_fragment_grouping_oracle,1,2,3,[2],[3],3623,12359,,1,1,gt_oracle_grouping
m04_p01_s06,m04_p01,3,PREDICTED_SEMANTIC,nearest_component_k_normalizer,1,1,2,[1],[2],15171,11448,49.1968994140625,1,,agglomeration
m04_p01_s06,m04_p01,3,PREDICTED_SEMANTIC,area_aware_k_normalizer,1,1,3,[1],[3],15171,2369,67.3162841796875,1,,agglomeration
m04_p01_s06,m04_p01,3,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,1,1,2,[1],[2],15171,11448,49.1968994140625,1,,agglomeration
m04_p01_s06,m04_p01,3,PREDICTED_SEMANTIC,hybrid_k_normalization,1,1,3,[1],[3],15171,2369,67.3162841796875,1,,obvious_fragment_assignment
m04_p01_s06,m04_p01,3,PREDICTED_SEMANTIC,gt_fragment_grouping_oracle,1,1,3,[1],[3],15171,2369,,2,1,gt_oracle_grouping
m04_p01_s07,m04_p01,2,PREDICTED_SEMANTIC,nearest_component_k_normalizer,1,2,3,[2],[3],64630,1529,49.3782958984375,2,,agglomeration
m04_p01_s07,m04_p01,2,PREDICTED_SEMANTIC,area_aware_k_normalizer,1,2,3,[2],[3],64630,1529,49.3782958984375,2,,agglomeration
m04_p01_s07,m04_p01,2,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,1,2,3,[2],[3],64630,1529,49.3782958984375,2,,agglomeration
m04_p01_s07,m04_p01,2,PREDICTED_SEMANTIC,hybrid_k_normalization,1,1,2,[1],[2],15,64630,94.0,1,,obvious_fragment_assignment
m04_p01_s07,m04_p01,2,PREDICTED_SEMANTIC,gt_fragment_grouping_oracle,1,1,3,[1],[3],15,1529,,1,1,gt_oracle_grouping
m04_p01_s08,m04_p01,2,PREDICTED_SEMANTIC,nearest_component_k_normalizer,1,1,2,[1],[2],15540,15,2.0,1,,agglomeration
m04_p01_s08,m04_p01,2,PREDICTED_SEMANTIC,area_aware_k_normalizer,1,1,2,[1],[2],15540,15,2.0,1,,agglomeration
m04_p01_s08,m04_p01,2,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,1,1,2,[1],[2],15540,15,2.0,1,,agglomeration
m04_p01_s08,m04_p01,2,PREDICTED_SEMANTIC,hybrid_k_normalization,1,1,2,[1],[2],15540,15,2.0,1,,obvious_fragment_assignment
m04_p01_s08,m04_p01,2,PREDICTED_SEMANTIC,gt_fragment_grouping_oracle,1,1,2,[1],[2],15540,15,,2,1,gt_oracle_grouping
m04_p01_s09,m04_p01,3,GT_SEMANTIC,nearest_component_k_normalizer,1,2,4,[2],[4],4835,1,2.196899890899658,2,,agglomeration
m04_p01_s09,m04_p01,3,GT_SEMANTIC,nearest_component_k_normalizer,2,1,3,[1],[3],32565,22006,9.1968994140625,1,,agglomeration
m04_p01_s09,m04_p01,3,GT_SEMANTIC,area_aware_k_normalizer,1,2,4,[2],[4],4835,1,2.196899890899658,2,,agglomeration
m04_p01_s09,m04_p01,3,GT_SEMANTIC,area_aware_k_normalizer,2,1,3,[1],[3],32565,22006,9.1968994140625,1,,agglomeration
m04_p01_s09,m04_p01,3,GT_SEMANTIC,centroid_distance_k_normalizer,1,4,5,[4],[5],1,2606,81.0,4,,agglomeration
m04_p01_s09,m04_p01,3,GT_SEMANTIC,centroid_distance_k_normalizer,2,2,4,[2],"[4, 5]",4835,2607,2.196899890899658,2,,agglomeration
m04_p01_s09,m04_p01,3,GT_SEMANTIC,hybrid_k_normalization,1,2,4,[2],[4],4835,1,2.196899890899658,2,,obvious_fragment_assignment
m04_p01_s09,m04_p01,3,GT_SEMANTIC,hybrid_k_normalization,2,1,3,[1],[3],32565,22006,9.1968994140625,1,,agglomeration
m04_p01_s09,m04_p01,3,GT_SEMANTIC,gt_fragment_grouping_oracle,1,2,4,[2],[4],4835,1,,3,1,gt_oracle_grouping
m04_p01_s09,m04_p01,3,GT_SEMANTIC,gt_fragment_grouping_oracle,2,2,5,[2],[5],4835,2606,,3,1,gt_oracle_grouping
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,nearest_component_k_normalizer,1,6,7,[6],[7],8,12,2.196899890899658,6,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,nearest_component_k_normalizer,2,5,6,[5],"[6, 7]",3,20,7.196899890899658,5,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,nearest_component_k_normalizer,3,1,3,[1],[3],31428,17875,31.559694290161133,1,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,nearest_component_k_normalizer,4,4,5,[4],"[5, 6, 7]",3543,23,40.5906982421875,4,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,area_aware_k_normalizer,1,6,7,[6],[7],8,12,2.196899890899658,6,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,area_aware_k_normalizer,2,5,6,[5],"[6, 7]",3,20,7.196899890899658,5,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,area_aware_k_normalizer,3,4,5,[4],"[5, 6, 7]",3543,23,40.5906982421875,4,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,area_aware_k_normalizer,4,1,3,[1],[3],31428,17875,31.559694290161133,1,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,1,6,7,[6],[7],8,12,2.196899890899658,6,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,2,5,6,[5],"[6, 7]",3,20,7.196899890899658,5,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,3,4,5,[4],"[5, 6, 7]",3543,23,40.5906982421875,4,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,4,2,4,[2],"[4, 5, 6, 7]",4027,3566,106.0,2,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,hybrid_k_normalization,1,6,7,[6],[7],8,12,2.196899890899658,6,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,hybrid_k_normalization,2,5,6,[5],"[6, 7]",3,20,7.196899890899658,5,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,hybrid_k_normalization,3,1,3,[1],[3],31428,17875,31.559694290161133,1,,agglomeration
m04_p01_s09,m04_p01,3,PREDICTED_SEMANTIC,hybrid_k_normalization,4,4,5,[4],"[5, 6, 7]",3543,23,40.5906982421875,4,,agglomeration
