sample_id,patient_id,gt_count,mask_condition,method_key,method_family,initial_component_count,final_group_count,merge_operations_count,split_operations_count,fragments_assigned_to_another_group,exact_k_achieved,instance_exact_count_acc,instance_mean_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,instance_merged_rate,instance_fragmented_rate,reason,failure_attribution,is_previous_gt_over_k_case
m04_p01_s00,m04_p01,2,GT_SEMANTIC,nearest_component_k_normalizer,k_normalizer,2,2,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,natural_components_match_k,success,0
m04_p01_s00,m04_p01,2,GT_SEMANTIC,area_aware_k_normalizer,k_normalizer,2,2,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,natural_components_match_k,success,0
m04_p01_s00,m04_p01,2,GT_SEMANTIC,centroid_distance_k_normalizer,k_normalizer,2,2,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,natural_components_match_k,success,0
m04_p01_s00,m04_p01,2,GT_SEMANTIC,hybrid_k_normalization,k_normalizer,2,2,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,natural_components_match_k,success,0
m04_p01_s00,m04_p01,2,GT_SEMANTIC,gt_fragment_grouping_oracle,diagnostic_oracle,2,2,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,exact_k,success,0
m04_p01_s00,m04_p01,2,PREDICTED_SEMANTIC,nearest_component_k_normalizer,k_normalizer,2,2,0,0,0,1,1.0,0.8993227451511014,1.0,1.0,1.0,0.0,0.0,natural_components_match_k,success,0
m04_p01_s00,m04_p01,2,PREDICTED_SEMANTIC,area_aware_k_normalizer,k_normalizer,2,2,0,0,0,1,1.0,0.8993227451511014,1.0,1.0,1.0,0.0,0.0,natural_components_match_k,success,0
m04_p01_s00,m04_p01,2,PREDICTED_SEMANTIC,centroid_distance_k_normalizer,k_normalizer,2,2,0,0,0,1,1.0,0.8993227451511014,1.0,1.0,1.0,0.0,0.0,natural_components_match_k,success,0
m04_p01_s00,m04_p01,2,PREDICTED_SEMANTIC,hybrid_k_normalization,k_normalizer,2,2,0,0,0,1,1.0,0.8993227451511014,1.0,1.0,1.0,0.0,0.0,natural_components_match_k,success,0
m04_p01_s00,m04_p01,2,PREDICTED_SEMANTIC,gt_fragment_grouping_oracle,diagnostic_oracle,2,2,0,0,0,1,1.0,0.8993227451511014,1.0,1.0,1.0,0.0,0.0,exact_k,success,0
